Id,Question,Context,Gold,Predicted,Predicted,Aug_Fixed,Synth_Fixed,F1,EM,Id,,Gold,F1,EM
008ccd865b8949119392c9c199b9173f,What kind of ransom does the police demand the kidnappers get?,"In 1959, Michael Courtland (Robertson), a New Orleans real estate developer, has his life shattered when his wife Elizabeth (Bujold) and young daughter Amy are kidnapped. The police recommend that he provide the kidnappers with a briefcase of shredded blank paper instead of the demanded ransom, as the kidnappers will then be more likely to surrender when cornered, rather than attempt to escape with cash in hand. Courtland agrees to this plan. This leads to a bungled car chase in which both kidnappers and victims are killed in a spectacular explosion. Courtland blames himself for the deaths of his wife and daughter.
Fifteen years pass. Courtland is morbidly obsessed with his dead wife, and regularly visits a monument he has had built in her memory. The monument is a replica of the church (Basilica di San Miniato al Monte) where he and Elizabeth had met many years before in Florence, Italy. His real estate partner Robert LaSalle (Lithgow) convinces Courtland to tag along on a business trip back to Florence. While there, Courtland revisits the church, and suddenly comes face to face with a young woman named Sandra (Bujold) who looks exactly like his late wife. The already slightly unhinged Courtland begins to court the young woman, and subtly attempts to transform her into a perfect mirror image of his dead wife.
Courtland returns to New Orleans with Sandra so they can marry. On their wedding night, Sandra is kidnapped and a ransom note is left behind by her abductors. It is an exact replica of the kidnappers' message from fifteen years before. This time, Courtland decides to deliver the demanded cash. He withdraws massive quantities of money from his accounts and business holdings, financially ruining him and forcing him to sign over his interest in the real estate business to LaSalle. In the process, he discovers that his entire ordeal, including the original kidnapping, had been engineered by LaSalle as a way to gain sole control of Courtland's company share holdings. The now nearly insane Courtland stabs LaSalle to death.
Knowing that Sandra must have been a willing accomplice in the plot against him, he goes to the airport to kill the escaping woman. On the plane, Sandra has a flashback to her part in the scheme; she is in fact Courtland's daughter: following the original kidnapping LaSalle concealed her survival and sent her to live in secret with an Italian caretaker. Over the years, LaSalle has told her lies about Courtland, convincing her that her father had not paid the ransom because he didn't love her. Sandra, who has come to love Courtland, attempts suicide on the plane and is taken off the flight in a wheelchair. Courtland sees her and runs toward her, gun drawn. A security guard attempts to stop him but Courtland smashes the briefcase full of money against the guard's head, knocking him unconscious. The briefcase breaks open and all of the money flies out. Sandra, seeing the fluttering bills, stands up and shouts: ""Daddy! You brought the money!"" Courtland now realizes for the first time who Sandra really is, and father and daughter fall into a deep embrace.
",['briefcase of shredded blank paper'],a briefcase of shredded blank paper,ransom note,1,0,1,1,008ccd865b8949119392c9c199b9173f,,['briefcase of shredded blank paper'],0,0
0c80244ffce648f8a85739ddffbec0b9,What is the name of the chromosome where you can find C14orf159?,"UPF0317 protein C14orf159, mitochondrial is a protein that in humans is encoded by the C14orf159 gene (chromosome 14 open reading frame 159).",['chromosome 14'],chromosome 14 open reading frame 159,mitochondrial is a protein that in humans is encoded by the C14orf159 gene (chromosome 14 open reading frame 159,1,0,0.5,0,0c80244ffce648f8a85739ddffbec0b9,,['chromosome 14'],0.210526316,0
0d18546b655e4e07a58fe3fb10c642c3,How old was Hasumi when he killed his parents?,"An English teacher named Seiji Hasumi (Hideaki ItÅ) is loved by his students and respected by his peers. He graduates from Harvard University with an MBA, and works at Morgenstern, a European investment bank, for two years. Hasumi returns to Japan to pursue high school teaching. However, his outward charm masks his true nature. In reality, Hasumi is a sociopath who is unable to feel empathy for other human beings. Specifically, he has a severe antisocial personality disorder. Having killed both of his parents and his former tutor at the age of fourteen, Hasumi turns into a fiendishly clever killer. During his time in the States, Hasumi meets a partner in crime, an American named Dave, who thinks he shares the same ""hobby"" as Hasumi â killing people for fun. The two can be seen carrying buckets full of human blood, bones, and organs somewhere, giving off the notion that they committed numerous murders while working together. Hasumi eventually kills his partner by knocking him out and burning him alive inside a barrel, stating that while Dave enjoys killing for fun, Hasumi does not.
Back in Japan, Hasumi chooses to deal with problems like bullying and student sexual harassment, starting by dealing with the school cheating issue. Upon collecting all of the students' cell phones prior to their exams, Hasumi secretly uses a cell phone jammer to completely prevent any cheating during the test. The group of students that had cheated on previous exams became suspicious after none of the group's cell phones have service during the test and immediately suspect the adviser of the Radio Club, Tsurii - a loner Physics teacher. They are then confronted by Tsurii himself who clarifies that he was not responsible for the jamming. A man who regularly meets with the school to complain about students bullying his daughter, Rina, is murdered. Someone has replaced the bottles of water he kept around his house to scare off cats with kerosene, as the man is a chainsmoker the bottles soon catch fire and explode. Tsurii soon meets with the intelligent ringleader of the cheating group, Keisuke, revealing his suspicions of Hasumi. Tsurii explains he has dug into Hasumi's past and found strange details, such as at another school where Hasumi started his teaching career that later had four student suicides. During this time, however, Hasumi had bugged the room and learned of Tsurii's suspicion, and confronts him on a train, murdering him and making his death appear as a hanging suicide. Hasumi then confronts Keisuke after the announcement of Tsurii's suicide causes him to panic. Hasumi knocks Keisuke out and ties him up until the end of school, after which Hasumi tortures him into admitting that he and his friends were indeed cheating. Hasumi checks that Keisuke didn't tell others of Tsurii's suspicions, before killing him and hiding his body.
During the same time period, Hasumi is brought to the attention of a blackmail case from one of his students. A store owner, Meka, caught a female student, Miya, shoplifting but swears not to charge her for it. However, PE teacher Shibahara blackmails Miya, as he has recorded her admission of shoplifting, into giving him sexual favors or risk being charged. Hasumi, assures Miya that a blackmail and statutory rape case is more serious than shoplifting and affirms to her that she is safe from the law and no longer needs to succumb to the blackmail. Miya later meets Hasumi on the school roof, she thanks him with a hug that advances into a kiss and the two become lovers. In the meantime, Hasumi finds out about art teacher Kume's sexual relationship with a male student; he blackmails Kume into lending him his luxury apartment. Hasumi later takes Miya to the apartment and the two have sex. Hasumi presses Miya into giving him access to an online private discussion board that his students use, anonymously making claims about the murder of Rina's father, accusing delinquent student Tadenuma, who had targeted Rina online previously. After a fight breaks out at the school, Hasumi invites Tadenuma out for a drink and murders him; the students later assume that Tadenuma ran away from home.
Events have passed until Hasumi's homeroom students are ",['fourteen'],of fourteen,age of fourteen,1,0,0.666666667,0,0d18546b655e4e07a58fe3fb10c642c3,,['fourteen'],0.5,0
0ebdc595516140f1aaf2cbd7b1c6adad,Who shoots off Boris's left arm?,"

The Men in Black are a secret law-enforcement agency that is responsible for policing the extraterrestrial life hidden on Earth, as well as protecting the world from any aliens who attempt to destroy/invade the planet.The film begins on LunarMax, a MiB prison situated on the moon. A one-armed criminal, a Boglodite named Boris the Animal, stages a jailbreak (along the way killing Obadiah Price, a fellow inmate he'd made a deal with). His intention is to rewrite history, with Agent K, the one who arrested and imprisoned him, being a major factor in his plan...On Earth, Agent K and his partner Agent J cover up an arrival of an alien spacecraft, and hear of the prison break. At a Chinese restaurant thats a local haunt for aliens, Agent K discovers Boris (who had previously gone to see Obadiah's son Jeffrey) and the two fight, with J joining in. K is upset that the alien he should have killed is out loose again; he deems it his own affair and forbids J to help him, suspending him. A puzzled J checks up on Boris: he appeared in 1969 to stop the prevention of the ArcNet Shield, a device that K deployed to protect the world from harm (but which killed off the Boglodites, as they can only survive by feeding off worlds). He managed to kill on 15 July 1969 an alien named Roman the Fabulous and on the following day... at this point O cuts him off and tells him not to investigate any further. That night, as K waits for Boris with a gun in his hand, he suddenly vanishes...The next morning, J discovers that he has a new partner, the liberated Agent AA, and that K has been dead for forty years (having been killed by Boris the Animal on 16th July 1969). O notices he is suffering from headaches and craves chocolate milk, which she explains are symptoms of time-fracture (aka the crime of interfering with history, which Obadiah Price was imprisoned for). At this point a Boglodite armada appears; J learns that there was nothing to hold them at bay, with no K to deploy the ArcNet. He theorizes that Boris went back in time to 1969 to kill K, thus changing history to what it was, and proposes to follow him; he heads to Jeffrey Price, who had provided Boris a time-jump device, and gets another one from him, and activates it by jumping off the Chrysler Building just as the Boglodites begin their assault...J arrives in 15 July 1969, with the intention to catch Boris as he is about to murder Roman the Fabulous. However, he is delayed from navigating the era of 1969 (most notably by an altercation with two racist cops), and gets there too late to stop Romans murder by 1969 Boris. He encounters 1969 Agent K, who subdues him and brings him to MiB headquarters. J tells K nothing, but when threatened with getting his memory erased he tells K part of the truth: he came from the future in pursuit of another time-traveler whos trying to change history.K and J follow a trail of clues to Andy Warhols Factory complex, where Warhol is revealed to be MiB Agent W. He notifies them of Griffin, an Arcanian being who has the ability to foresee all timelines and futures; Griffins planet was destroyed by the Boglodites, so he came to live on Earth and brought with him a device which will prevent the Boglodites from consuming the Earth. 1969 Boris arrives at the Factory in search of Griffin, who makes a quick exit with Boris in fast pursuit (to Js displeasure, although K doesnt seem to get too worried).J and K eventually track down Griffin at Shea Stadium, where he is foreseeing the future victory for the Mets baseball team. 1969 Boris appears and captures Griffin, but J and K are able to rescue Griffin, although Boris gets away. Griffin gives them the ArcNet and explains it can only work in zero gravity: K gets the idea to head to Cape Canaveral on 16th July 1969 (the day the Apollo 11 ship launched)",['Agent K'],Agent K,"O cuts him off and tells him not to investigate any further. That night, as K",1,0,1,1,0ebdc595516140f1aaf2cbd7b1c6adad,,['Agent K'],0.111111111,0
0ef4f88a57b8453ba2c3aaa4c9960574,What was the skeleton named after?,"ADDIS ABABA, Ethiopia - One of the world's most famous fossils - the 3.2 million-year-old Lucy skeleton unearthed in Ethiopia in 1974 - will go on an exhibition tour abroad for the first time in the United States, officials said Tuesday. Even the Ethiopian public has only seen Lucy twice. The Lucy on exhibition at the Ethiopian National Museum in the capital, Addis Ababa, is _ while the real remains are usually locked in a secret storeroom. A team from the Museum of National Science in Houston, Texas, spent four years discussing with the Ethiopians for the U.S. tour, which will start in Houston next September. ""Ethiopia's rich culture of both the past and today, is one of the best kept secrets in the world,"" said Joel Bartsch, director of the Houston museum. The six-year tour will also go to Washington, New York, Denver and Chicago. Officials said six other U.S. cities may be on the tour. But they said plans had not been worked out. Travelling with Lucy will be 190 other fossils. Lucy, her name taken from a Beatles song that played in a camp the night of her discovery, is part of the skeleton of what was once a 3-foot-tall ape-man .",['song'],a Beatles song,ape-man,1,0,0.666666667,0,0ef4f88a57b8453ba2c3aaa4c9960574,,['song'],0,0
0fb580619b38486ea67877cb70b946a6,Which musical instrument is connected with Neumeister Collection?,"The Neumeister Collection is a manuscript compilation of chorale preludes for organ assembled by Johann Gottfried Neumeister (1757--1840) after 1790, including 31 compositions by Johann Sebastian Bach (BWV 1090--1120) that were uncatalogued until scholars rediscovered the manuscript in the 1980s.",['organ'],for organ,"organ assembled by Johann Gottfried Neumeister (1757--1840) after 1790, including 31 compositions by Johann Sebastian Bach",1,0,0.666666667,0,0fb580619b38486ea67877cb70b946a6,,['organ'],0.117647059,0
1421e298e9fd49488cc1512ca88f6533,What does the Five Friendlies mean when put together?,"Like the Five Olympic Rings from which they draw their color and inspiration, the Five Friendlies will serve as the Official Mascots of Beijing 2008 Olympic Games, carrying a message of friendship and peace and blessings from China to children all over the world. Designed to express the playful qualities of five little children who form an intimate circle of friends, the Five Friendlies also embody the natural characteristics of four of China's most popular animals--the Fish, the Panda, the Tibetan Antelope, the Swallow--and the Olympic Flame. Each of the Friendlies has a rhyming two-syllable name--a traditional way of expressing affection for children in China. Beibei is the Fish, Jingjing is the Panda, Huanhuan is the Olympic Flame, Yingying is the Tibetan Antelope and Nini is the Swallow. When you put their names together--Bei Jing Huan Ying Ni--they say ""Welcome to Beijing,"" offering a warm invitation that reflects the mission of the Five Friendlies as young ambassadors for the Olympic Games. The Five Friendlies also embody both the landscape and the dreams and aspirations of people from every part of the vast country of China. In their origins and their headpieces, you can see the five elements of nature--the sea, forest, fire, earth and sky--all stylistic rendered in ways that represent the deep traditional influences of Chinese folk art and ornamentation.",['Welcome to Beijing'],"Welcome to Beijing,"" offering a warm invitation that reflects the mission of the Five Friendlies as young ambassadors",young ambassadors,1,0,0.333333333,0,1421e298e9fd49488cc1512ca88f6533,,['Welcome to Beijing'],0,0
1a8a09eb5551470d87be09ff2c25765c,What is the ending year of P&O European Ferries?,"P&O European Ferries (formerly Townsend Thoresen), a division of P&O Ferries, was a ferry company which operated in the English Channel from 1987 after the Herald of Free Enterprise disaster, when Townsend Thoresen was renamed P&O European Ferries, until 1999 when the Portsmouth Operations became P&O Portsmouth and the Dover Operation where merged with Stena Line AB to make P&O Stena Line.",['1999'],until 1999,"1987 after the Herald of Free Enterprise disaster, when Townsend Thoresen was renamed P&O European Ferries, until 1999",1,0,0.666666667,0,1a8a09eb5551470d87be09ff2c25765c,,['1999'],0.111111111,0
1b34ecf99bc54e9a8b5ce2f1bfdedb68,Which activity is against the rules?,"Swimming in the water of Hawaii's Big Island is a fun experience. But it can be more exciting if there are dolphins swimming around and jumping out of the sea too. For many people, it would be a wonderful dream to swim with these lovely animals! However, this may not be good for dolphins. They may get hurt because of human interaction . Dolphins are active and usually look for food at night. In the day, they like to rest in shallow bays . Many people think the dolphins are awake during the day as they swim. But when they sleep they rest half of their brain and keep the other half awake to breathe, so they may be sleeping even when they're swimming in the water. From 2010 to 2013, spinner dolphins of Hawaii's Big Island were exposed to human activities more than 82 percent of the time, according to Julian Tyne, a researcher at Australia's Murdoch University. The National Oceanic and Atmospheric Administration (NOAA) says disturbing the animals in their near-shore habitat could force them to swim to less favorable places, putting them at risk of attack by sharks and other animals. Besides, when people are around, dolphins become more active. Thus, they can't get enough sleep. ""Disturbing their resting behaviors can actually affect their long term health and the health of the dolphin population,"" Ann Garrett of NOAA's National Marine Fisheries Service told the Associated Press. As a result, the NOAA wants to make rules to help protect the dolphins. For example, the agency may ban swimming with the Hawaii spinner dolphins. Or they may stop people from swimming in shallow bays when the dolphins are resting. Tour operators must also be taught to watch for signs to know when the dolphins are in their resting state.",['swimming with the Hawaii spinner dolphins'],swimming with the Hawaii spinner dolphins,dolphins become more active,1,0,1,1,1b34ecf99bc54e9a8b5ce2f1bfdedb68,,['swimming with the Hawaii spinner dolphins'],0.222222222,0
1dc0691a92814d9d879a9897ff6ccfcb,Who suggests they kidnap the daughter of an executive that fired Ryu?,"

Ryu (Ha-kyun Shin), a deaf man, works in a factory to support his ailing sister (Ji-Eun Lim) in desperate need of a kidney transplant. Ryu tries to donate one of his kidneys to his sister but is told that his blood type does not match that of his sister and so is not a suitable donor. After being laid off from his job by the factory boss, Ryu contacts a black market organ dealer who agrees to sell him a kidney suitable for his sister in exchange for 10,000,000 Korean won, plus one of Ryu's own kidneys. He takes the severance pay from his factory job and offers the money to the organ dealers, who take the money and one of his kidneys, but then disappear. Three weeks later, Ryu learns from his doctor that a kidney has been found for his sister and that the operation will cost 10,000,000 won, but since the organ dealers stole his money, he will not be able to pay for it.In need of money for the operation and in retaliation for his being fired, Ryu and his girlfriend, Yeong-mi (Doona Bae), a radical anarchist, conspire to kidnap the daughter of the boss who fired him. Instead, he realizes that the kidnapping would immediately put them under police suspicion, and they decide to kidnap Yu-sun (Bo-bae Han), the daughter of the boss's friend, Park Dong-jin (Kang-ho Song), another factory executive. The girl stays with Ryu's sister (thinking that Ryu is merely babysitting for a time), who takes care of her while the distraught Dong-jin arranges to pay her ransom. After Ryu collects the money and returns home, he learns that his sister has discovered his scheme and, unwilling to be involved or burden Ryu further, killed herself. Ryu takes Yu-sun and his sister's body into the countryside to bury her by a riverbed they used to frequent as children. While Ryu mourns, Yu-sun accidentally slips into the river and drowns.Days later, as Dong-jin mourns his daughter and swears revenge at the river bank, Ryu ambushes and murders the organ dealers. Dong-jin, having investigated the identities of the kidnappers, finds Yeong-mi and begins interrogating her. Yeong-mi apologizes for Yu-sun's death but warns him of her membership in a terrorist organization that, knowing Dong-jin's identity, will kill him if she dies. Dong-jin, unfazed by the threats, tortures her to death by electrocuting her. Ryu returns to Yeong-mi's apartment building and discovers the police removing her body on a stretcher. Ryu, consumed with grief, swears vengeance on Dong-jin.Ryu arrives at Dong-jin's residence in an attempt to kill him. He waits for some time, but Dong-Jin does not arrive: he is, in fact, waiting at Ryu's apartment. After Dong-Jin does not arrive, Ryu returns to his apartment. However, Dong-jin had previously set up an electric booby trap on his doorknob, which renders Ryu unconscious. Dong-jin then binds Ryu and returns him to the riverbed where Yu-sun died. After binding Ryu's hands and feet and bringing him chest-high into the water, an emotional Dong-jin acknowledges that although Ryu is a good man, he has no choice; Dong-jin then slashes Ryu's Achilles tendons, resulting in his drowning.Dong-jin drags Ryu back to shore and then drives off to a desolate location to bury the body. Once there, he begins to dig a hole, but soon a group of men arrives. They surround and stab Dong-jin repeatedly, finally attaching a note to his chest identifying themselves as the terrorist group of which Yeong-mi was part. The group leave Dong-jin dying beside his car with the bloody tools and bags he used to chop up, dismember, and package Ryu's body.(From Wikipedia.)

",['Yeong-mi'],", Yeong-mi",conspire,1,0,1,1,1dc0691a92814d9d879a9897ff6ccfcb,,['Yeong-mi'],0,0
